[1] Starting main script
[1] "Mon Jul 11 10:00:47 2016"
[1] Using model :  modelDoubleConvNN
[1] Ensuring data availability
[1] "Loading compressed data"
[1] Asking model modelDoubleConvNN to generate new predictions
[1] Model version : 2
[1] Segmenting features
[1] Computing predictions #2
[1] Starting to train model for keypoints : 
 [1]  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
[26] 26 27 28 29 30
[1] "Mon Jul 11 10:00:51 2016"
Start training with 1 devices
[1] Train-rmse=34.6875985253528
[2] Train-rmse=7.9039739870849
[3] Train-rmse=3.50393146777124
[4] Train-rmse=3.2148312208669
[5] Train-rmse=3.19433446570085
[6] Train-rmse=3.1932988479973
[7] Train-rmse=3.19284016338029
[8] Train-rmse=3.19216752763576
[9] Train-rmse=3.19148877290667
[10] Train-rmse=3.19075420022651
[11] Train-rmse=3.18989364733729
[12] Train-rmse=3.18887835064294
[13] Train-rmse=3.1876778806372
[14] Train-rmse=3.18621826393776
[15] Train-rmse=3.18442710753548
[16] Train-rmse=3.18236318762631
[17] Train-rmse=3.18001763001783
[18] Train-rmse=3.17732798662417
[19] Train-rmse=3.17429772419207
[20] Train-rmse=3.17095865121615
[21] Train-rmse=3.16679686693436
[22] Train-rmse=3.16271786870646
[23] Train-rmse=3.15952713799454
[24] Train-rmse=3.15652128293806
[25] Train-rmse=3.15338714346736
[26] Train-rmse=3.15024920627501
[27] Train-rmse=3.14710579878539
[28] Train-rmse=3.14395939977302
[29] Train-rmse=3.14079716995448
[30] Train-rmse=3.13764239874317
[31] Train-rmse=3.13445779381679
[32] Train-rmse=3.13126338014522
[33] Train-rmse=3.12803228389359
[34] Train-rmse=3.12475730041566
[35] Train-rmse=3.1214437858482
[36] Train-rmse=3.11808675098185
[37] Train-rmse=3.11465782353555
[38] Train-rmse=3.11115686875307
[39] Train-rmse=3.10757144038233
[40] Train-rmse=3.10388081481052
[41] Train-rmse=3.10006524421768
[42] Train-rmse=3.09612248683527
[43] Train-rmse=3.09203796407989
[44] Train-rmse=3.08783545252198
[45] Train-rmse=3.08350154549924
[46] Train-rmse=3.07898315564722
[47] Train-rmse=3.07425318847367
[48] Train-rmse=3.06933530001469
[49] Train-rmse=3.06422511371347
[50] Train-rmse=3.0589045204128
[51] Train-rmse=3.05331019666818
[52] Train-rmse=3.04740979098061
[53] Train-rmse=3.04117309492104
[54] Train-rmse=3.03471208618404
[55] Train-rmse=3.02799603399919
[56] Train-rmse=3.02103958232863
[57] Train-rmse=3.01383501854113
[58] Train-rmse=3.00636087544662
[59] Train-rmse=2.99863939163844
[60] Train-rmse=2.99068906685138
[61] Train-rmse=2.98250044471611
[62] Train-rmse=2.97409600092363
[63] Train-rmse=2.96551046945179
[64] Train-rmse=2.95674637553845
[65] Train-rmse=2.94782263804092
[66] Train-rmse=2.93877287407322
[67] Train-rmse=2.92961260430816
[68] Train-rmse=2.9201938685981
[69] Train-rmse=2.9106558607566
[70] Train-rmse=2.90140439374216
[71] Train-rmse=2.8922443685739
[72] Train-rmse=2.88309534511741
[73] Train-rmse=2.8739600319062
[74] Train-rmse=2.86466796413714
[75] Train-rmse=2.85539740676423
[76] Train-rmse=2.84647737078898
[77] Train-rmse=2.83768254218423
[78] Train-rmse=2.82891221604674
[79] Train-rmse=2.8201689965015
[80] Train-rmse=2.81147140186803
[81] Train-rmse=2.80281511482642
[82] Train-rmse=2.7941595239874
[83] Train-rmse=2.78549083058055
[84] Train-rmse=2.77678520764624
[85] Train-rmse=2.76809676404102
[86] Train-rmse=2.75935431000397
[87] Train-rmse=2.75056811537717
[88] Train-rmse=2.74175104763167
[89] Train-rmse=2.7328636279445
[90] Train-rmse=2.72385227801991
[91] Train-rmse=2.71471939788206
[92] Train-rmse=2.70546474373353
[93] Train-rmse=2.69609404262737
[94] Train-rmse=2.68657692639427
[95] Train-rmse=2.67697217711552
[96] Train-rmse=2.66747770463002
[97] Train-rmse=2.65906023471166
[98] Train-rmse=2.65061090423835
[99] Train-rmse=2.64276699112672
[100] Train-rmse=2.63333029946578
[101] Train-rmse=2.62485202234441
[102] Train-rmse=2.61588872171832
[103] Train-rmse=2.60747656738194
[104] Train-rmse=2.59864782225917
[105] Train-rmse=2.59045160572408
[106] Train-rmse=2.58178151996395
[107] Train-rmse=2.57356213194419
[108] Train-rmse=2.56516279288635
[109] Train-rmse=2.55691536662858
[110] Train-rmse=2.54874735655629
[111] Train-rmse=2.54070181159339
[112] Train-rmse=2.53271824185911
[113] Train-rmse=2.52493219924652
[114] Train-rmse=2.51675361996196
[115] Train-rmse=2.50968802855001
[116] Train-rmse=2.50190532492054
[117] Train-rmse=2.49454408402351
[118] Train-rmse=2.48679589650351
[119] Train-rmse=2.48028614560701
[120] Train-rmse=2.4728281413917
[121] Train-rmse=2.46565471037999
[122] Train-rmse=2.45947671657824
[123] Train-rmse=2.45247659599182
[124] Train-rmse=2.44609788179352
[125] Train-rmse=2.43965945191278
[126] Train-rmse=2.43335778597766
[127] Train-rmse=2.4266451278795
[128] Train-rmse=2.42138849237282
[129] Train-rmse=2.41440467296578
[130] Train-rmse=2.40942641343362
[131] Train-rmse=2.40320361692079
[132] Train-rmse=2.3977510495478
[133] Train-rmse=2.39160847513855
[134] Train-rmse=2.38691685134586
[135] Train-rmse=2.38097512049448
[136] Train-rmse=2.37525801702496
[137] Train-rmse=2.37082079030006
[138] Train-rmse=2.36466932772298
[139] Train-rmse=2.36051289746004
[140] Train-rmse=2.35464331786642
[141] Train-rmse=2.35051885500855
[142] Train-rmse=2.34529656251752
[143] Train-rmse=2.33998030908349
[144] Train-rmse=2.33623400042479
[145] Train-rmse=2.33125038250908
[146] Train-rmse=2.32631045432869
[147] Train-rmse=2.32269208187919
[148] Train-rmse=2.31753822864267
[149] Train-rmse=2.31398770532437
[150] Train-rmse=2.30899830720034
[151] Train-rmse=2.30569508092262
[152] Train-rmse=2.30081293527898
[153] Train-rmse=2.29754610941606
[154] Train-rmse=2.29302540633948
[155] Train-rmse=2.28983833721777
[156] Train-rmse=2.28520181637292
[157] Train-rmse=2.28225449709406
[158] Train-rmse=2.27746667154213
[159] Train-rmse=2.27422484325136
[160] Train-rmse=2.26976679058525
[161] Train-rmse=2.26706871406797
[162] Train-rmse=2.26279373650855
[163] Train-rmse=2.25999508275236
[164] Train-rmse=2.25577215761802
[165] Train-rmse=2.25305718153579
[166] Train-rmse=2.24891291817063
[167] Train-rmse=2.24607386877866
[168] Train-rmse=2.24234798195897
[169] Train-rmse=2.2395472586769
[170] Train-rmse=2.23558404266785
[171] Train-rmse=2.23314129045648
[172] Train-rmse=2.22921134296054
[173] Train-rmse=2.22686490713629
[174] Train-rmse=2.22338585520286
[175] Train-rmse=2.22069643348419
[176] Train-rmse=2.2168422886066
[177] Train-rmse=2.21452142582096
[178] Train-rmse=2.21081119269968
[179] Train-rmse=2.20800942662609
[180] Train-rmse=2.2052295143561
[181] Train-rmse=2.20254473571331
[182] Train-rmse=2.19968431594967
[183] Train-rmse=2.19678452366862
[184] Train-rmse=2.19406440048139
[185] Train-rmse=2.19145751953929
[186] Train-rmse=2.18852721988757
[187] Train-rmse=2.18567699676459
[188] Train-rmse=2.18274492959371
[189] Train-rmse=2.18030562372806
[190] Train-rmse=2.1774666115982
[191] Train-rmse=2.17475337588478
[192] Train-rmse=2.17227661618418
[193] Train-rmse=2.16953239639486
[194] Train-rmse=2.16658917027617
[195] Train-rmse=2.163955898472
[196] Train-rmse=2.16139888342945
[197] Train-rmse=2.15906072445585
[198] Train-rmse=2.15657539788502
[199] Train-rmse=2.15406338362337
[200] Train-rmse=2.15146754067076
[201] Train-rmse=2.14905463356579
[202] Train-rmse=2.14667968506972
[203] Train-rmse=2.14439495910755
[204] Train-rmse=2.14179045590113
[205] Train-rmse=2.13951010995137
[206] Train-rmse=2.13712109919605
[207] Train-rmse=2.13458407940483
[208] Train-rmse=2.13211462501027
[209] Train-rmse=2.12985062593672
[210] Train-rmse=2.12723868505996
[211] Train-rmse=2.12505843527088
[212] Train-rmse=2.12259106284213
[213] Train-rmse=2.12030928531112
[214] Train-rmse=2.11810392274525
[215] Train-rmse=2.11601054289363
[216] Train-rmse=2.11375090696641
[217] Train-rmse=2.11126789782693
[218] Train-rmse=2.10911810831111
[219] Train-rmse=2.10688200559262
[220] Train-rmse=2.10493391699705
[221] Train-rmse=2.10271167819885
[222] Train-rmse=2.10036903533005
[223] Train-rmse=2.09808738073031
[224] Train-rmse=2.09596240426751
[225] Train-rmse=2.09369989518004
[226] Train-rmse=2.09162797654902
[227] Train-rmse=2.08943324555816
[228] Train-rmse=2.08749369513054
[229] Train-rmse=2.08525015925917
[230] Train-rmse=2.08272523446416
[231] Train-rmse=2.08101801281656
[232] Train-rmse=2.07929849395501
[233] Train-rmse=2.07707950427858
[234] Train-rmse=2.07516487197539
[235] Train-rmse=2.07286611377368
[236] Train-rmse=2.07111967946878
[237] Train-rmse=2.06886282262017
[238] Train-rmse=2.06692177197473
[239] Train-rmse=2.06505535282575
[240] Train-rmse=2.06290345812362
[241] Train-rmse=2.06094946529489
[242] Train-rmse=2.0590416443395
[243] Train-rmse=2.05703937424365
[244] Train-rmse=2.05509613151066
[245] Train-rmse=2.05330929707503
[246] Train-rmse=2.05206138037183
[247] Train-rmse=2.05024410586608
[248] Train-rmse=2.04815981015469
[249] Train-rmse=2.04622657629215
[250] Train-rmse=2.04461415388916
[251] Train-rmse=2.04226669854045
[252] Train-rmse=2.0404562154012
[253] Train-rmse=2.03863791945614
[254] Train-rmse=2.03643950587755
[255] Train-rmse=2.03464384727197
[256] Train-rmse=2.0326914549713
[257] Train-rmse=2.0310249654819
[258] Train-rmse=2.02877781349878
[259] Train-rmse=2.0267686566306
[260] Train-rmse=2.02483348863215
[261] Train-rmse=2.02296841486659
[262] Train-rmse=2.02118612871833
[263] Train-rmse=2.01940020186355
[264] Train-rmse=2.0173617846778
[265] Train-rmse=2.01518392198365
[266] Train-rmse=2.0131155884708
[267] Train-rmse=2.01157526652646
[268] Train-rmse=2.00976173105759
[269] Train-rmse=2.00790456164941
[270] Train-rmse=2.00622884817738
[271] Train-rmse=2.00436438339431
[272] Train-rmse=2.00244116969403
[273] Train-rmse=2.00095295104722
[274] Train-rmse=1.99925237845864
[275] Train-rmse=1.99752565002071
[276] Train-rmse=1.99592314317481
[277] Train-rmse=1.99409149159731
[278] Train-rmse=1.9925661370452
[279] Train-rmse=1.9912594353886
[280] Train-rmse=1.98955298124073
[281] Train-rmse=1.98777574931716
